"SourcePath","ItemName","ItemType","SizeBytes","LastModified","Classification","Evidence","SHA256","DestinationProposal","ContainsSecrets","Action","Reason"
"C:\Users\chris\Downloads\Zamorin_Left_Button_Activation_Package (1)","Zamorin_Left_Button_Activation_Package (1)","DIRECTORY","0","2026-07-20 17:35:54","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","N/A_DIRECTORY","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FOLDERS\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\zamorin-attendance-module-v1.zip","zamorin-attendance-module-v1.zip","FILE","256588","2026-08-10 08:04:52","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","16F6EBE1DFC74D20B8F7610C54AF3178F6F19E1F07698901A8FD2F4B71EDB37D","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Antigravity_Deck.pptx","Zamorin_Antigravity_Deck.pptx","FILE","389676","2026-07-21 19:44:56","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","F7D4AD2D2C3B900CC16195DB12439B24C16BDFD54DEC59DC3DD5D17F05AEA069","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier.docx","Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier.docx","FILE","105022","2026-08-12 21:35:28","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","2EF01186F325864A1BA202044A392513B15AA8C9238730E9F396C764DD9AB4EB","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier_Narrative_Final_2026-08-13.docx","Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier_Narrative_Final_2026-08-13.docx","FILE","134186","2026-08-13 21:59:24","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","39D8B9F2DAC1A349A3603ECFB78022411A72E5AACD24F68AF79ABC8BC1646650","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Status_and_Completion_Checklist.docx","Zamorin_Cafe_ERP_Status_and_Completion_Checklist.docx","FILE","66804","2026-08-03 17:00:59","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","B953E89E84762117AB636C9536F903F106C60F4D35CBFEE07E6F12D2BC9382C7","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\ZAMORIN_CONTINUATION_MASTER_PROMPT.md","ZAMORIN_CONTINUATION_MASTER_PROMPT.md","FILE","26238","2026-08-05 16:34:11","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","875335E926C73993775B5FF0151245CEF8A6C2D0D76D85E972D10D8594F8F9F1","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Left_Button_Activation_Package (1)\Zamorin_Complete_Navigation_Macros.bas","Zamorin_Complete_Navigation_Macros.bas","FILE","3998","2026-07-19 10:27:42","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","606B61AC836D7943FFB9E0BAE83A7E84ACA57283DFDACD03521988CC4C72B381","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\Downloads\Zamorin_Left_Button_Activation_Package (1)\Zamorin_Estate_Dashboard_Left_Navigation.xlsx","Zamorin_Estate_Dashboard_Left_Navigation.xlsx","FILE","204699","2026-07-19 10:27:42","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","0716ED6E77AE32CF74407723E86236D5299133BE401D3E529DD6C3A7F9B6B594","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\ZAMORIN CAFE UPDATIONS..docx","ZAMORIN CAFE UPDATIONS..docx","FILE","154133","2026-08-11 19:10:08","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","5A90599935E5727D6795D9B3614246EF907AE8039205E48DA57A33778304DF18","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
